operation,amount,time
concat,100000000,11688
equals,100000000,12673
not equals,100000000,15168
addition,100000000,13251
substraction,100000000,36284
division,100000000,16275
multiplication,100000000,12820
greater than,100000000,11821
smaller than,100000000,20601
sqrt,100000000,16366
pow,100000000,1368646
sin,100000000,488808
tan,100000000,482402
concat,100000000,21972
equals,100000000,14550
not equals,100000000,21689
addition,100000000,12220
substraction,100000000,31703
division,100000000,12465
multiplication,100000000,12846
greater than,100000000,14181
smaller than,100000000,14576
sqrt,100000000,11662
pow,100000000,1407689
sin,100000000,488511
tan,100000000,478744
concat,100000000,21276
equals,100000000,12718
not equals,100000000,12432
addition,100000000,20668
substraction,100000000,21163
division,100000000,22129
multiplication,100000000,12987
greater than,100000000,17480
smaller than,100000000,21052
sqrt,100000000,16936
pow,100000000,1362745
sin,100000000,479563
tan,100000000,500113
concat,100000000,12747
equals,100000000,13609
not equals,100000000,20434
addition,100000000,12954
substraction,100000000,26426
division,100000000,12926
multiplication,100000000,13422
greater than,100000000,20015
smaller than,100000000,18351
sqrt,100000000,15201
pow,100000000,1397458
sin,100000000,504239
tan,100000000,496787
concat,100000000,12384
equals,100000000,13656
not equals,100000000,12236
addition,100000000,16269
substraction,100000000,12927
division,100000000,18284
multiplication,100000000,13998
greater than,100000000,14601
smaller than,100000000,17248
sqrt,100000000,15812
pow,100000000,1416231
sin,100000000,485270
tan,100000000,483039
concat,100000000,18198
equals,100000000,12885
not equals,100000000,17275
addition,100000000,18118
substraction,100000000,21315
division,100000000,15886
multiplication,100000000,13627
greater than,100000000,12900
smaller than,100000000,19518
sqrt,100000000,20764
pow,100000000,1362590
sin,100000000,477988
tan,100000000,475354
concat,100000000,18377
equals,100000000,13497
not equals,100000000,20678
addition,100000000,18764
substraction,100000000,14914
division,100000000,15056
multiplication,100000000,12717
greater than,100000000,18090
smaller than,100000000,20421
sqrt,100000000,19791
pow,100000000,1356254
sin,100000000,479575
tan,100000000,476887
concat,100000000,12145
equals,100000000,12891
not equals,100000000,17927
addition,100000000,21434
substraction,100000000,39369
division,100000000,16977
multiplication,100000000,13254
greater than,100000000,13666
smaller than,100000000,20737
sqrt,100000000,17555
pow,100000000,1368182
sin,100000000,483541
tan,100000000,485722
concat,100000000,11445
equals,100000000,12674
not equals,100000000,21982
addition,100000000,22454
substraction,100000000,45264
division,100000000,17969
multiplication,100000000,12679
greater than,100000000,22537
smaller than,100000000,18870
sqrt,100000000,16940
pow,100000000,1353902
sin,100000000,484032
tan,100000000,479305
concat,100000000,17583
equals,100000000,13477
not equals,100000000,21248
addition,100000000,15176
substraction,100000000,41981
division,100000000,12880
multiplication,100000000,13107
greater than,100000000,16179
smaller than,100000000,19314
sqrt,100000000,12091
pow,100000000,1364132
sin,100000000,481098
tan,100000000,488933
concat,100000000,13948
equals,100000000,12741
not equals,100000000,17926
addition,100000000,21958
substraction,100000000,42241
division,100000000,14272
multiplication,100000000,13040
greater than,100000000,17662
smaller than,100000000,19187
sqrt,100000000,16660
pow,100000000,1354006
sin,100000000,477480
tan,100000000,479162
concat,100000000,17634
equals,100000000,12776
not equals,100000000,19310
addition,100000000,18566
substraction,100000000,44660
division,100000000,12312
multiplication,100000000,13548
greater than,100000000,13110
smaller than,100000000,20909
sqrt,100000000,14395
pow,100000000,1340127
sin,100000000,475460
tan,100000000,487130
concat,100000000,15997
equals,100000000,18816
not equals,100000000,18522
addition,100000000,13080
substraction,100000000,33508
division,100000000,14709
multiplication,100000000,13186
greater than,100000000,11621
smaller than,100000000,15591
